TIMESTAMP,Counter,DepthCm,Latitude,Longitude
13/04/2016 7:24,101986,40,79.982410,-86.284222
13/04/2016 7:24,101987,41.24,79.982422,-86.284187
13/04/2016 7:24,101988,29.1,79.982430,-86.284167
13/04/2016 7:24,101989,32.47,79.982440,-86.284173
13/04/2016 7:24,101990,29.89,79.982458,-86.284158
13/04/2016 7:24,101991,31.52,79.982467,-86.284127
13/04/2016 7:24,101992,29.94,79.982465,-86.284168
13/04/2016 7:24,101993,27.36,79.982467,-86.284193
13/04/2016 7:24,101994,25.78,79.982467,-86.284235
13/04/2016 7:24,101995,24.72,79.982470,-86.284277
13/04/2016 7:24,101996,43.88,79.982478,-86.284340
13/04/2016 7:24,101997,10.1,79.982482,-86.284388
13/04/2016 7:24,101998,20.11,79.982478,-86.284418
13/04/2016 7:24,101999,19.88,79.982483,-86.284475
13/04/2016 7:24,102000,29.38,79.982492,-86.284582
13/04/2016 7:24,102001,16.4,79.982492,-86.284590
13/04/2016 7:24,102002,30.79,79.982492,-86.284625
13/04/2016 7:24,102003,48.66,79.982492,-86.284673
13/04/2016 7:24,102004,52.14,79.982505,-86.284742
13/04/2016 7:24,102005,49.11,79.982508,-86.284777
13/04/2016 7:24,102006,61.47,79.982508,-86.284852
13/04/2016 7:24,102007,65.07,79.982517,-86.284875
13/04/2016 7:24,102008,72.94,79.982528,-86.284900
13/04/2016 7:24,102009,62.88,79.982528,-86.284925
13/04/2016 7:24,102010,54.67,79.982528,-86.284965
13/04/2016 7:24,102011,35.68,79.982533,-86.285017
13/04/2016 7:24,102012,16.96,79.982535,-86.285062
13/04/2016 7:24,102013,25.39,79.982545,-86.285133
13/04/2016 7:24,102014,23.87,79.982548,-86.285207
13/04/2016 7:24,102015,9.32,79.982563,-86.285287
13/04/2016 7:24,102016,19.55,79.982570,-86.285367
13/04/2016 7:24,102017,17.47,79.982577,-86.285410
13/04/2016 7:24,102018,11.79,79.982577,-86.285468
13/04/2016 7:24,102019,23.42,79.982577,-86.285540
13/04/2016 7:24,102020,44.84,79.982567,-86.285610
13/04/2016 7:24,102021,31.69,79.982570,-86.285625
13/04/2016 7:24,102022,32.3,79.982578,-86.285722
13/04/2016 7:24,102023,25.9,79.982583,-86.285785
13/04/2016 7:25,102024,31.46,79.982585,-86.285797
13/04/2016 7:25,102025,38.71,79.982598,-86.285850
13/04/2016 7:25,102026,35.84,79.982602,-86.285897
13/04/2016 7:25,102027,33.71,79.982607,-86.285945
13/04/2016 7:25,102028,18.65,79.982605,-86.286002
13/04/2016 7:25,102029,13.14,79.982612,-86.286052
13/04/2016 7:25,102030,5.44,79.982607,-86.286120
13/04/2016 7:25,102031,5.946,79.982600,-86.286175
13/04/2016 7:25,102032,7.969,79.982605,-86.286223
13/04/2016 7:25,102033,13.81,79.982612,-86.286275
13/04/2016 7:25,102034,9.32,79.982625,-86.286340
13/04/2016 7:25,102035,7.294,79.982625,-86.286385
13/04/2016 7:25,102036,6.564,79.982635,-86.286437
13/04/2016 7:25,102037,14.88,79.982645,-86.286480
13/04/2016 7:25,102038,32.7,79.982655,-86.286513
13/04/2016 7:25,102039,42.25,79.982663,-86.286572
13/04/2016 7:25,102040,47.48,79.982673,-86.286638
13/04/2016 7:25,102041,54.73,79.982673,-86.286705
13/04/2016 7:25,102042,57.31,79.982677,-86.286758
13/04/2016 7:25,102043,59.28,79.982677,-86.286820
13/04/2016 7:25,102044,60.97,79.982680,-86.286907
13/04/2016 7:25,102045,72.04,79.982678,-86.286950
13/04/2016 7:25,102046,65.86,79.982683,-86.286980
13/04/2016 7:25,102047,60.24,79.982685,-86.287028
13/04/2016 7:25,102048,48.32,79.982692,-86.287088
13/04/2016 7:25,102049,37.25,79.982682,-86.287148
13/04/2016 7:25,102050,17.75,79.982675,-86.287138
13/04/2016 7:25,102051,22.92,79.982663,-86.287140
13/04/2016 7:25,102052,11.9,79.982647,-86.287173
13/04/2016 7:25,102053,24.6,79.982638,-86.287167
13/04/2016 7:25,102054,43.38,79.982625,-86.287172
13/04/2016 7:25,102055,43.32,79.982617,-86.287185
13/04/2016 7:25,102056,31.63,79.982615,-86.287237
13/04/2016 7:25,102057,25.56,79.982605,-86.287288
13/04/2016 7:25,102058,17.19,79.982595,-86.287333
13/04/2016 7:25,102059,1.674,79.982588,-86.287350
13/04/2016 7:25,102060,14.38,79.982582,-86.287400
13/04/2016 7:25,102061,10.78,79.982565,-86.287442
13/04/2016 7:25,102062,11.57,79.982563,-86.287448
13/04/2016 7:25,102063,19.21,79.982555,-86.287478
13/04/2016 7:25,102064,26.63,79.982547,-86.287460
13/04/2016 7:25,102065,24.55,79.982538,-86.287550
13/04/2016 7:25,102066,8.76,79.982528,-86.287572
13/04/2016 7:25,102067,7.857,79.982517,-86.287587
13/04/2016 7:25,102068,8.31,79.982505,-86.287612
13/04/2016 7:25,102069,9.26,79.982500,-86.287662
13/04/2016 7:25,102070,12.35,79.982488,-86.287712
13/04/2016 7:25,102071,10.1,79.982480,-86.287725
13/04/2016 7:25,102072,13.2,79.982473,-86.287775
13/04/2016 7:25,102073,9.54,79.982463,-86.287793
13/04/2016 7:25,102074,14.32,79.982452,-86.287787
13/04/2016 7:25,102075,14.32,79.982440,-86.287778
13/04/2016 7:25,102076,9.32,79.982432,-86.287760
13/04/2016 7:25,102077,11.96,79.982422,-86.287705
13/04/2016 7:26,102078,8.42,79.982418,-86.287683
13/04/2016 7:26,102079,8.76,79.982413,-86.287613
13/04/2016 7:26,102080,9.21,79.982412,-86.287555
13/04/2016 7:26,102081,11.68,79.982410,-86.287475
13/04/2016 7:26,102082,13.76,79.982403,-86.287428
13/04/2016 7:26,102083,16.23,79.982400,-86.287397
13/04/2016 7:26,102084,14.71,79.982423,-86.287908
13/04/2016 7:26,102085,14.38,79.982418,-86.287920
13/04/2016 7:26,102086,41.24,79.982410,-86.287930
13/04/2016 7:26,102087,8.53,79.982407,-86.287943
13/04/2016 7:26,102088,8.76,79.982402,-86.287980
13/04/2016 7:26,102089,14.1,79.982390,-86.288002
13/04/2016 7:26,102090,11.57,79.982387,-86.287977
13/04/2016 7:26,102091,8.42,79.982375,-86.287898
13/04/2016 7:26,102092,8.7,79.982368,-86.287845
13/04/2016 7:26,102093,10.27,79.982362,-86.287797
13/04/2016 7:26,102094,15.95,79.982362,-86.287720
13/04/2016 7:26,102095,8.31,79.982362,-86.287633
13/04/2016 7:26,102096,6.845,79.982362,-86.287482
13/04/2016 7:26,102097,7.126,79.982358,-86.287418
13/04/2016 7:26,102098,6.789,79.982358,-86.287392
13/04/2016 7:26,102099,17.97,79.982353,-86.287332
13/04/2016 7:26,102100,9.09,79.982347,-86.287285
13/04/2016 7:26,102101,12.18,79.982342,-86.287205
13/04/2016 7:26,102102,19.21,79.982320,-86.287158
13/04/2016 7:26,102103,19.32,79.982317,-86.287177
13/04/2016 7:26,102104,14.55,79.982298,-86.287233
13/04/2016 7:26,102105,59.23,79.982287,-86.287213
13/04/2016 7:26,102106,63.61,79.982285,-86.287195
